ID	PC1	PC2	PC3	PC4
HG01271	-1.88545	-0.54756	0.77597	1.23023
HG01272	0.83482	0.33237	-2.14344	0.75479
HG01273	0.22589	-1.03346	0.02932	0.03441
HG01274	-2.19623	0.25755	-0.02401	0.13944
HG01275	-1.34968	0.2771	0.772	-1.42156
HG01276	-0.63422	0.57963	-0.91506	0.79235
HG01277	-0.92134	1.47958	0.0539	-0.89921
HG01278	1.32011	0.62698	0.48419	2.09455
HG01279	-0.06083	0.35516	0.17031	-1.21258
HG01280	0.53747	-0.2868	0.19344	0.69086
HG01281	0.50411	0.12513	0.22535	-0.98797
HG01284	0.82986	-1.14526	0.8721	0.5444
HG01286	-0.1848	-0.05889	-1.0282	0.8198
HG01302	-1.30978	-1.85111	-1.28847	0.84767
HG01303	-1.60717	0.05266	-1.01849	0.66322
HG01305	-0.71835	0.48337	-0.62352	0.73317
HG01308	0.30694	1.6567	-0.2507	0.25287
HG01311	-0.63359	-0.69334	1.34107	0.18989
HG01312	-1.2471	-1.93107	-1.01546	0.11952
HG01323	-1.51052	-0.64215	1.35111	1.99656
HG01325	-1.16821	-0.63196	0.53032	0.57773
HG01326	-1.50959	0.9128	-0.39592	0.71654
HG01334	-0.29563	-0.75925	0.76882	-0.90743
HG01341	0.838	-0.88228	1.18681	0.39014
HG01342	-0.58868	0.7791	0.2384	-0.28134
HG01343	0.86564	1.26005	-1.36155	-0.14005
HG01344	0.4969	0.93987	-0.35361	0.11956
HG01345	-0.12445	-1.26597	0.46406	-0.1441
HG01346	1.29147	0.48497	0.19554	0.10772
HG01347	0.37864	-0.1072	-0.81504	0.04068
HG01348	1.10637	0.90589	-0.76227	0.78
HG01349	-0.47994	-1.91887	0.75359	-0.5839
HG01350	0.21537	-0.40651	1.28475	0.66933
HG01351	-0.46554	-1.20399	-0.39081	-1.07426
HG01352	-0.61471	0.54265	-0.69891	0.36844
HG01353	-1.12361	-1.78285	-0.14783	0.47545
HG01354	2.66752	-1.46195	0.0366	2.16867
HG01355	0.8443	-2.57869	0.17302	-0.22985
HG01356	-0.23198	0.05529	-0.57642	1.18637
HG01357	-0.36395	-0.85294	-0.49237	-0.66652
HG01358	-0.23496	-0.15709	0.61222	-1.76683
HG01359	1.52362	-1.64152	0.03318	0.2868
HG01360	-1.03893	1.92774	-1.04558	1.5242
HG01361	1.36454	-0.32346	0.73743	-0.68824
HG01362	0.20453	0.19437	1.07966	-0.24083
HG01363	1.39119	-1.9448	1.58242	0.33584
HG01365	0.02536	-0.4888	1.11411	-1.84781
HG01366	-0.4755	-0.74842	1.23789	0.55636
HG01367	-0.65003	-0.68162	0.69229	0.87447
HG01369	0.43657	0.42128	-0.07472	-0.1228
HG01372	1.55557	-0.67615	-0.10347	0.01695
HG01374	-0.32612	3.54107	0.51038	-0.53592
HG01375	0.02478	2.11517	-0.5573	0.55918
HG01376	0.3508	1.17408	-0.25002	-0.76481
HG01377	1.18393	0.78787	-1.02372	0.28452
HG01378	-0.90593	0.48754	-0.92538	1.86803
HG01379	0.69237	-0.2118	0.12839	-0.64228
HG01383	0.30007	-1.45294	-0.27502	-0.21219
HG01384	-0.2298	-0.94931	-0.35297	-0.79561
HG01385	-1.16276	0.00938	0.74089	1.26342
HG01389	0.30904	-0.10536	-0.16041	-0.20574
HG01390	-0.95253	0.43109	0.35413	2.08514
HG01391	0.09045	-0.22168	-0.29468	-0.45245
HG01392	2.34743	-1.59777	0.8435	0.22573
HG01393	-1.38375	-0.94513	0.81258	-0.78509
HG01395	0.97767	-0.70298	0.33433	-1.27498
HG01396	-0.67016	-0.09844	-0.60983	0.48652
HG01398	2.86667	1.43934	-0.08554	0.07767
HG01402	-1.73885	-0.80459	1.99388	1.57563
HG01403	1.04029	-0.39608	-0.66609	-0.75138
HG01405	0.35145	-1.07788	0.73625	-0.82207
HG01412	0.42412	-0.09937	-0.08843	-0.9863
HG01413	-1.10876	3.66113	-0.15314	-1.24606
HG01414	0.50737	0.64325	0.13598	-1.09472
HG01431	-1.47016	-0.20629	-0.33552	0.21865
HG01432	0.17362	1.15669	0.19417	1.38949
HG01433	-1.29564	0.09199	-1.46272	-0.26854
HG01435	1.86796	-0.74815	-0.25304	1.18875
HG01437	1.65462	0.94096	0.32433	1.71208
HG01438	1.2957	0.46827	-1.11133	2.12646
HG01439	0.03852	0.55501	-0.71353	0.0134
HG01440	-1.83342	1.12159	-1.6653	-0.07007
HG01441	-2.36207	-0.12167	1.70414	-0.283
HG01443	1.64374	-1.02529	-0.05	-0.76248
HG01444	0.65708	0.04729	0.26814	0.67009
HG01447	-0.68919	0.12409	1.3679	-1.5029
HG01455	0.30888	-0.37517	0.81597	0.28709
HG01456	0.52333	0.77358	1.63588	-1.11868
HG01457	-0.45231	0.45585	-0.43457	1.02644
HG01459	-1.4628	-0.08859	-0.04099	0.78307
HG01461	2.28584	0.17825	1.1795	0.69587
HG01462	0.48065	0.55772	-2.01383	-0.47789
HG01463	-0.5238	-1.27567	0.12654	-0.44274
HG01464	-0.95448	-0.23262	-1.82022	-1.93012
HG01465	0.0437	-0.81286	-0.3521	-0.63738
HG01466	0.06537	0.07912	-1.99272	-0.96017
HG01468	-0.81825	-0.43301	-0.30422	-0.1533
HG01474	-1.24848	1.66195	0.44604	-0.84862
HG01479	0.39266	-1.08565	-0.95276	-1.19389
HG01485	0.74579	-0.62918	1.91359	0.81475
HG01486	-0.90941	-0.61296	-0.21519	-0.38295
HG01488	-0.69841	-0.02452	-0.30447	-1.39349
HG01489	1.50801	-1.671	1.0096	0.78189
HG01490	0.93319	-0.31751	0.69525	0.56342
HG01491	0.14568	0.1801	0.20806	-0.37121
HG01492	-2.01622	0.99877	1.18944	0.65843
HG01493	0.48277	-1.71273	-0.88258	-0.66573
HG01494	-0.27277	-0.79779	0.77671	0.05817
HG01495	-1.60478	1.14716	-0.95163	1.82157
HG01496	0.59671	-0.69868	1.00782	0.63352
HG01497	-0.71365	0.23958	0.82137	-0.56424
HG01498	0.63574	-1.36076	0.0196	1.46418
HG01499	-0.22346	0.99686	0.39573	-0.27511
HG01500	-0.63466	2.19179	-0.10322	0.65788
HG01501	0.42302	0.67407	0.31547	0.11309
HG01502	0.67181	0.14326	-0.55027	1.50814
HG01503	0.48138	-1.99226	-1.7202	1.12083
HG01504	-2.52873	-0.642	0.2172	-1.1473
HG01505	-0.83908	-0.51016	-0.1602	0.67358
HG01506	0.98342	0.65467	1.49315	1.06374
HG01507	-0.48408	-1.19237	1.79122	-1.31589
HG01508	-0.94403	-0.31136	-0.58527	-1.04638
HG01509	-0.25463	0.88029	1.26834	-2.13039
HG01510	-1.77591	0.93778	0.42582	0.28393
HG01511	0.07494	0.32907	0.99945	-1.24255
HG01512	0.7351	0.49865	-1.64098	-0.45031
HG01513	0.10285	0.9984	0.75859	-0.9083
HG01514	-0.66423	0.42212	1.10632	-0.05136
HG01515	-1.56846	2.03696	-0.77215	-2.4178
HG01516	0.08527	-0.58003	-0.10608	-0.20748
HG01517	0.34087	0.77311	1.20814	-0.33406
HG01518	-0.57519	0.35263	-0.03492	-0.02597
HG01519	1.01591	-0.51059	-2.55005	0.31696
HG01520	0.68611	-0.50545	-0.11318	1.57132
HG01521	1.79285	-0.32538	0.19636	-1.69973
HG01522	-1.49221	-0.55592	-0.50135	-0.35144
HG01523	0.91738	1.03648	-0.37186	0.11937
HG01524	0.50664	0.52969	-0.41636	0.50717
HG01525	0.83443	1.0367	0.73303	0.31771
HG01526	2.47584	0.73908	-1.72448	-0.03154
HG01527	-1.1652	-0.19483	-0.71999	0.18783
HG01528	-0.42291	-2.31537	0.10779	0.33189
HG01529	-0.52732	-1.72505	0.92938	-0.20879
HG01530	2.4935	0.47202	0.29841	1.41228
HG01531	0.84863	0.04608	-0.45865	1.69793
HG01532	-0.38562	0.89328	-0.19178	-0.59188
HG01536	0.60506	1.00583	0.18306	1.15132
HG01537	1.36481	0.42958	0.66481	1.41516
HG01538	0.65561	-0.00916	-1.72376	-1.92773
HG01550	-0.62393	-1.15119	0.88189	0.49867
HG01551	-0.21758	1.62282	0.32346	0.01689
HG01552	0.04331	1.25555	0.98512	-0.17394
HG01556	0.55574	1.40651	-1.09543	0.40309
HG01565	-1.50327	0.42417	0.2036	0.17259
HG01566	-1.02165	0.57977	0.90096	-0.47716
HG01567	-0.68153	-0.17436	1.14397	-1.91547
HG01571	0.73505	1.7522	1.13501	0.37568
HG01572	-1.23062	1.80663	1.29871	0.1982
HG01573	1.63921	-0.40142	0.99631	0.44361
HG01577	-1.53992	0.58075	-0.14454	1.03418
HG01578	-0.52409	-2.18395	0.98125	-1.77414
HG01579	-1.66002	0.04433	0.75358	-0.3492
HG01583	0.2555	-0.95236	-0.08672	1.52468
HG01586	-0.4608	0.42507	0.3619	-1.35959
HG01589	1.72538	1.4128	1.21252	-0.86266
HG01593	-0.38883	0.32262	-0.5428	-0.94769
HG01595	-0.55062	3.25647	0.91088	-0.07871
HG01596	-1.76698	-0.27656	0.19832	-0.82317
HG01597	-0.36515	0.23046	-0.65933	-0.00335
HG01598	-1.14193	-1.09952	-0.39941	0.32096
HG01599	0.1481	0.74706	1.6856	-1.30384
HG01600	1.55319	1.47257	0.16665	0.24491
HG01601	-0.34199	0.15001	0.29536	0.59797
HG01602	-0.55915	0.83601	0.00132	-0.81659
HG01603	1.34815	-0.88734	-0.4842	-1.46394
HG01604	-0.32625	-1.15758	1.48039	0.45924
HG01605	-2.16135	0.22409	-0.64723	-0.89616
HG01606	0.41319	0.42646	0.50443	-2.23458
HG01607	0.94975	1.44103	0.70747	0.52208
HG01608	-1.13539	-1.76964	-0.33326	-0.55954
HG01609	-0.99542	0.29233	-0.4111	-1.07377
HG01610	1.24787	0.59534	1.8917	0.89806
HG01611	0.39414	0.01871	-0.16786	-0.53992
HG01612	0.35757	-0.67785	0.36439	0.35831
HG01613	-0.40224	0.32994	-0.37082	0.7072
HG01614	0.43819	-2.15662	-0.59973	-1.08712
HG01615	0.40842	0.68675	0.64678	0.38466
HG01616	0.81699	-0.05093	-0.86074	-1.49619
HG01617	0.04705	0.37934	-0.39874	2.1909
HG01618	0.70832	0.39197	-0.1145	-0.74678
HG01619	-0.76461	1.08494	1.21417	-0.10904
HG01620	-1.22181	0.43675	-2.28128	0.15291
HG01621	-1.50802	0.76241	-0.42643	0.28491
HG01622	-0.63139	0.07666	-0.35584	-0.26361
HG01623	1.70812	-0.61595	0.50536	-0.98861
HG01624	0.28885	0.56554	0.75639	-0.74994
HG01625	-1.23767	-1.01869	-1.14842	-0.45873
HG01626	-0.69548	-0.81109	-0.4238	0.1222
HG01627	1.42034	0.54328	-0.57102	-0.09251
HG01628	-1.34996	0.873	-2.32034	0.75454
HG01629	-1.24387	0.59609	-0.43327	-0.32639
HG01630	-0.13325	-0.30379	0.06538	0.23302
HG01631	-0.07067	0.39571	-0.3032	1.1993
HG01632	-0.42516	-0.31647	-1.16701	-1.00911
HG01633	0.24096	-0.31266	-0.72309	1.00625
HG01667	0.65084	-1.04401	0.17277	-0.19112
HG01668	-0.9791	0.11238	1.91259	-1.92445
HG01669	2.58331	-0.03275	-0.42672	-0.13392
HG01670	-0.24144	-1.19449	1.09841	-1.88079
HG01671	0.13736	-0.02693	-0.47412	-0.19817
HG01672	0.80665	-0.10319	0.6453	-1.23644
HG01673	-0.77061	-0.9484	1.31584	0.95582
HG01674	0.96386	1.13877	0.97273	0.67637
HG01675	-0.067	0.92635	1.73135	-1.16868
HG01676	0.37628	0.83619	-1.36522	-1.40632
HG01677	-0.16803	0.91906	0.29952	1.21564
HG01678	-0.31405	-0.38145	-0.52807	-0.02621
HG01679	-0.01266	-1.43974	0.09091	-0.19284
HG01680	-0.74661	-0.03603	-0.74077	2.67625
HG01681	1.87781	0.51851	-0.24653	0.8513
HG01682	1.83413	1.46859	0.76716	-2.06993
HG01683	0.28586	-2.23695	-0.68149	-0.35721
HG01684	-1.41701	0.54319	0.3894	1.79069
HG01685	1.08447	-1.07491	-0.7236	0.85022
HG01686	0.22266	-0.77709	-0.75136	1.22206
HG01687	1.81943	-0.79756	1.00724	1.26922
HG01694	-0.18181	0.64038	-0.54864	0.57834
HG01695	-1.0024	-0.44881	0.61597	1.70532
HG01696	-0.66469	0.93282	0.86063	-0.68541
HG01697	-0.76268	-0.98694	1.23074	-0.60992
HG01698	-1.0618	-0.24386	-1.29284	-0.58108
HG01699	-0.66291	0.2392	0.65226	0.05679
HG01700	-1.42058	-0.13166	-1.86531	-0.69826
HG01701	0.74933	-1.64327	0.01465	0.34167
HG01702	1.01085	-0.57909	-1.3942	-0.36448
HG01703	-0.84723	0.51175	-0.60235	0.00533
HG01704	-0.80152	-0.86528	-0.63632	0.03402
HG01705	-1.1639	-0.66829	-1.96964	1.1861
HG01706	-0.41584	-0.20643	0.76035	-0.76332
HG01707	0.36713	0.56606	-0.42121	1.46571
HG01708	0.93052	-3.12743	-0.66555	-1.41805
HG01709	-0.48947	-0.05767	1.11799	-0.87534
HG01710	0.89286	-0.47622	-0.97736	0.13193
HG01711	0.60208	0.24546	1.4355	-0.07514
HG01746	0.14671	1.975	0.98478	-0.53807
HG01747	0.54185	1.36243	0.14967	-0.86354
HG01748	-0.42434	-0.56409	-1.17494	-0.46041
HG01755	1.69244	0.14215	-0.76262	-1.15518
HG01756	0.44378	2.84216	-0.52491	-0.66848
HG01757	1.82982	0.8347	0.62706	0.26619
HG01761	-0.92262	-0.57794	0.2178	-0.15382
HG01762	-1.65462	-1.35833	2.07608	0.56624
HG01763	2.20459	-1.4569	-0.10868	0.16864
HG01765	-0.42625	0.66572	-2.3922	-1.14577
HG01766	0.85932	0.71146	-0.41362	-1.53647
HG01767	-0.61924	-0.68626	1.88019	-1.07094
HG01768	-1.14446	-0.98953	0.44774	-0.83902
HG01770	-0.42114	0.92395	1.32677	-1.58827
HG01771	0.64841	-0.49356	0.11182	0.15452
HG01772	0.32818	-0.36858	-0.48951	1.57906
HG01773	-0.67292	-0.72293	1.16101	0.35185
HG01774	-1.47441	-0.48387	-0.03603	1.68403
HG01775	0.45731	0.88749	-0.72314	0.68308
HG01776	0.97808	-1.4975	-0.87875	0.90631
HG01777	0.55141	0.75198	-0.13521	1.0631
HG01778	-0.02737	-1.36021	0.59405	1.74101
HG01779	-1.70426	0.83907	1.55323	0.16595
HG01780	0.9596	0.40982	-0.29905	-0.69432
HG01781	-0.45252	0.35563	-0.02033	-1.84031
HG01782	-0.31861	-1.31228	-0.20216	-0.02676
HG01783	1.44403	-2.59191	0.86293	0.66484
HG01784	-0.50872	-0.95852	0.75098	1.26515
HG01785	0.00461	-0.26963	-0.94191	-0.00182
HG01786	-0.25559	-0.1236	-0.84567	-0.53801
HG01789	0.10129	-0.17034	-0.54726	0.07168
HG01790	0.81932	0.7034	-1.30441	-0.13784
HG01791	0.69011	1.24188	0.33509	0.08667
HG01794	0.28578	-0.11358	1.63392	1.42261
HG01795	-0.16333	-0.00226	0.39907	-0.67382
HG01796	-0.94263	-0.11881	0.80791	-1.53859
HG01797	0.8959	-1.44585	-0.62852	-0.71047
HG01798	1.38715	-0.19746	-0.28936	-0.26155
HG01799	0.64616	-1.54377	-0.99489	1.03076
HG01800	1.10036	-0.3409	0.21064	0.82549
HG01801	0.22312	-0.67042	-0.94838	-0.24623
HG01802	1.36346	-0.70504	0.82691	0.17654
HG01804	-1.16134	1.52081	-0.35986	-0.50173
HG01805	0.53388	-0.03953	-1.26606	-0.42341
HG01806	-0.54122	-0.46978	-0.51732	-0.51887
HG01807	-0.99934	1.04389	-1.41008	-0.01319
HG01808	-0.69282	-0.09821	0.61574	0.53251
HG01809	-1.21803	0.51792	-0.79911	1.46938
HG01810	0.30894	0.94327	-0.27708	-1.36135
HG01811	1.42982	-2.4773	0.03212	0.58908
HG01812	1.40777	2.15323	-0.43572	-1.03418
HG01813	2.10038	-0.42397	-1.66085	0.75626
HG01815	0.655	-1.08582	1.54604	0.62249
HG01816	-0.56314	-2.35322	-0.95246	0.4402
HG01817	-0.13092	-0.79984	1.40597	-1.47219
HG01840	-2.05504	-0.21222	0.78292	0.20595
HG01841	-0.96343	0.38611	-1.31709	1.49178
HG01842	1.69262	0.02073	0.70467	-0.14559
HG01843	0.05625	0.39026	1.74582	1.71912
HG01844	-0.6643	-1.29612	1.86793	-0.56476
HG01845	-1.44442	0.16974	0.10354	0.85917
HG01846	1.25595	1.40126	-0.8544	1.27578
HG01847	-0.62807	1.58177	-0.21897	-0.02691
HG01848	0.6418	-0.89409	0.59324	0.63503
HG01849	-0.78364	-0.58843	0.11552	-0.55884
HG01850	-0.02447	-0.77149	-0.60135	1.47183
HG01851	-2.14428	-1.56864	1.96873	1.05734
HG01852	-1.19539	-0.25704	-0.45225	1.30267
HG01853	-0.07252	0.36986	0.18193	1.67715
HG01855	-0.32155	0.28286	1.18802	-0.32508
HG01857	0.39489	0.21094	-1.08389	0.03078
HG01858	0.19016	-0.03902	0.72691	0.71022
HG01859	-1.65597	1.30463	1.19621	0.41358
HG01860	-0.0781	-1.11566	0.08037	-0.0896
HG01861	0.99107	1.86192	-1.12341	-1.99015
HG01862	0.97845	-0.87661	-0.2046	1.52755
HG01863	0.72004	1.87654	0.15734	-0.8235
HG01864	-0.36066	-0.11438	-0.61839	-0.34061
HG01865	0.6765	0.46944	-0.0852	-0.43308
HG01866	-0.01835	0.47642	-0.60549	1.71706
HG01867	-0.40173	-1.59717	-0.19372	0.92354
HG01868	0.69481	-0.81755	0.10485	2.06286
HG01869	1.9622	0.20145	-0.19145	-1.72451
HG01870	0.09164	-0.69267	0.23508	0.13174
HG01871	-2.97909	-0.04399	0.49314	-1.1429
HG01872	0.45132	1.54321	0.34528	1.9365
HG01873	-0.40558	0.10917	0.18503	0.42263
HG01874	0.87465	-1.20061	-2.2742	0.9613
HG01878	-1.44105	-0.85201	0.71073	-0.38556
HG01879	-0.21813	0.74318	0.41199	0.32482
HG01880	0.95473	-0.35502	0.47877	-0.12531
HG01881	0.81406	1.96471	0.17528	1.67251
HG01882	-0.68156	0.84563	-0.4847	1.34864
HG01883	0.52867	-1.01694	1.30073	1.07077
HG01884	-0.47049	-0.97631	-0.02474	2.04335
HG01885	0.34299	-0.71527	0.86963	-0.44278
HG01886	-0.169	0.50478	-1.82544	0.64137
HG01887	-0.95253	0.27263	1.21261	-1.16543
HG01888	-0.0354	-0.46157	-0.39792	-0.38727
HG01889	-0.94842	0.66323	0.71952	-0.15669
HG01890	-0.33867	0.07447	1.06951	-0.04147
HG01891	-0.6023	0.14726	0.67114	-0.06593
HG01892	1.72956	1.50446	-0.17484	-1.06496
HG01893	2.03411	0.58839	-0.43828	-0.15078
HG01894	-1.42397	1.90335	0.02801	0.87065
HG01895	-0.57009	-0.63907	0.30199	0.54628
HG01896	-0.25926	0.84214	-1.18065	0.64932
HG01897	0.24477	-0.72505	0.28727	3.25099
HG01898	-1.55648	-0.34552	-1.57686	0.32145
HG01912	-0.95932	1.72604	-0.2338	1.36476
HG01914	0.62281	-0.30315	0.25552	-0.32025
HG01915	-1.16818	0.64188	0.39606	-0.05313
HG01916	-0.87153	-1.07168	-0.11537	0.32723
HG01917	-0.97495	-0.34123	-1.02932	0.49188
HG01918	0.63935	1.13819	0.15814	-1.48025
HG01919	0.80856	-1.00448	-1.68545	-0.10286
HG01920	1.57421	2.08901	0.52085	0.55183
HG01921	-0.2994	0.48958	-1.39614	0.41162
HG01922	-0.48828	0.64132	-0.24712	0.83072
HG01923	0.22605	-1.1253	1.124	-0.85998
HG01924	-0.49427	1.21662	0.73772	1.2019
HG01925	-0.11631	-0.94758	-2.80208	0.19796
HG01926	0.16	-2.24216	1.52914	0.91786
HG01927	-0.0108	-0.185	0.7449	0.05734
HG01928	-0.60067	-0.06736	2.82877	-0.67866
HG01932	-0.14895	0.14731	0.82594	0.50665
HG01933	-0.25404	-0.67279	-1.05305	0.82988
HG01934	1.94553	0.74707	0.46995	-1.56213
HG01935	-0.3399	-0.83487	-0.10206	-0.52725
HG01936	-0.60279	-1.22591	-0.14183	0.21478
HG01937	1.87101	0.75325	0.6669	0.22017
HG01938	-0.08908	0.52201	0.64714	-0.30441
HG01939	0.91967	-0.43867	0.36687	-0.5399
HG01940	0.11642	1.24319	-0.43096	-0.15173
HG01941	-0.2804	0.26004	0.81261	1.74363
HG01942	-1.30436	0.69796	-0.16048	-0.7509
HG01943	-0.18456	-1.80662	-0.86734	-1.07137
HG01944	-0.49987	-0.99392	-0.59127	1.60221
HG01945	0.18909	-1.44862	-1.87998	0.28984
HG01946	0.5462	0.0097	-0.81829	0.52452
HG01947	1.0319	2.26434	0.13793	1.23573
HG01948	-2.23917	-0.82581	0.31698	-1.23084
HG01949	-0.3369	1.01442	0.98142	0.56037
HG01950	-0.62388	0.6599	1.37123	0.69562
HG01951	0.83634	1.55652	-1.18735	1.07527
HG01952	-0.84896	-2.13833	-0.07701	0.5621
HG01953	0.16257	-0.77885	0.1106	0.07425
HG01954	0.83501	-1.90755	0.57622	1.44985
HG01955	-0.34031	0.5707	-0.45078	1.83637
HG01956	-0.49359	-0.56641	0.60783	-1.11413
HG01958	-0.36639	1.04065	-0.55941	0.90133
HG01959	-0.54012	-2.42533	-0.01487	1.34033
HG01960	-0.31959	1.83783	2.00806	0.22615
HG01961	0.65326	0.38729	0.26659	-0.96072
HG01965	0.23873	1.02762	-2.17458	-0.35174
HG01967	0.77691	0.39151	2.18047	-1.23616
HG01968	-0.14904	-0.35043	0.29215	0.75953
HG01969	1.24939	-1.55805	-0.48035	-1.3361
HG01970	-0.10656	-0.55192	0.13044	-0.91412
HG01971	1.73388	-0.46991	0.10407	1.11267
HG01972	0.71308	-0.63179	0.51966	-0.6607
HG01973	-0.36345	-0.07245	-0.88471	-0.20966
HG01974	-0.46357	1.67333	1.0183	0.45889
HG01975	1.51918	-1.4254	-0.44287	-0.53129
HG01976	-0.14656	0.62771	-2.1723	0.99702
HG01977	0.90927	0.08926	0.03492	-0.56338
HG01978	-0.65495	-0.93365	-1.05648	2.36843
HG01979	-0.84735	1.13436	-0.31957	-0.06304
HG01980	-0.46354	-0.1913	0.836	1.13306
HG01981	-0.98691	-0.98056	0.83055	-1.03372
HG01982	2.49186	-1.96739	0.01025	1.10099
HG01983	-0.12583	1.28042	-0.3497	-0.48172
HG01984	-0.88874	0.85584	-1.11519	-1.24643
HG01985	-0.77062	0.17378	0.28126	-0.191
HG01986	0.87496	-0.66906	-0.21084	-1.60147
HG01987	0.73117	-0.63517	0.32888	0.78287
HG01988	1.073	0.04543	0.22143	1.21185
HG01989	-1.01715	-1.01754	0.57879	-1.10071
HG01990	0.73578	-1.86071	-1.93292	1.44561
HG01991	0.62177	-0.34589	1.032	1.20179
HG01992	-0.37791	1.80299	0.52286	1.71606
HG01993	0.96551	-0.33689	0.50123	-0.71995
HG01997	-0.94476	-0.26587	0.35898	-1.35853
HG01998	0.57725	-1.50024	-1.19376	0.40051
HG02002	-1.46633	2.74372	0.50497	-0.91436
HG02003	-1.67848	-1.09603	-1.7717	2.22897
HG02004	-0.57591	0.95845	-0.58351	-0.48017
HG02006	0.86527	0.67201	-0.27522	1.0131
HG02008	-0.38783	0.45189	-1.81602	1.17436
HG02009	-0.93672	-1.35387	1.10121	-0.28359
HG02010	-0.67461	2.42977	-0.84628	0.38238
HG02011	2e-04	-0.21934	-0.784	0.22793
HG02012	0.80064	-1.01102	0.22738	-0.33567
HG02013	-0.49281	-0.68693	-0.68138	0.64318
HG02014	-1.0789	-0.55754	0.21534	-1.06382
HG02015	-1.17023	0.18406	-0.72728	0.87015
HG02016	0.87138	-1.09612	0.65417	-0.19775
HG02017	0.40749	0.33215	-1.03505	-0.55105
HG02018	-1.33439	0.45694	0.24873	0.81181
HG02019	-0.74231	0.33683	1.29373	-0.00893
HG02020	-1.01359	0.36637	-0.64727	-1.36049
HG02023	0.90696	-0.55551	0.27314	-0.39522
HG02024	0.64094	-1.79076	-0.59284	-1.36306
HG02025	1.14853	1.82406	1.72508	-0.57021
HG02026	-0.14799	0.24623	-1.9883	-0.92073
HG02027	-0.36246	-1.97183	-0.81985	-1.8956
HG02028	0.01874	-1.29018	0.12113	-0.80018
HG02029	2.44817	0.74575	1.48043	1.19193
HG02030	0.32404	1.58553	0.95514	-0.3415
HG02031	0.60416	0.4038	-0.35939	-0.31886
HG02032	-0.41899	0.15912	0.92899	-1.33162
HG02035	0.23122	0.27944	-1.75718	0.9243
HG02040	2.02875	-0.86149	1.34406	0.32937
HG02047	0.81055	-0.35171	0.49485	0.90361
HG02048	-0.03234	0.40133	0.22907	-2.50531
HG02049	1.00759	0.22446	-0.219	2.84512
HG02050	1.66874	-1.19371	-1.03328	0.81185
HG02051	0.25442	-0.31099	1.55049	-0.71865
HG02052	0.46225	-0.16497	0.41061	-0.58364
HG02053	0.36286	0.22275	-0.34061	-0.38905
HG02054	-1.41293	-0.34828	1.39574	-0.23987
HG02055	0.76478	-0.73191	1.03818	-0.82974
HG02056	1.18763	-0.41535	-0.02093	0.66597
HG02057	-0.41123	2.53884	2.82541	-1.55795
HG02058	-0.35829	-0.30884	0.6056	-0.28127
HG02059	-0.87644	3.19074	0.42169	-1.89917
HG02060	-0.73396	-0.41489	-0.10393	0.41747
HG02061	1.5252	0.9746	-0.52337	0.68047
HG02064	0.10563	-1.51673	-0.70848	-3.56063
HG02067	1.16747	-1.27204	1.12355	-1.04671
HG02068	1.21426	0.96454	1.061	0.11157
HG02069	1.72183	1.47922	-0.92548	1.90856
HG02070	-0.38627	-0.98033	0.9823	-0.01961
HG02071	0.67486	-0.52059	-0.51563	1.24789
HG02072	-0.45553	0.69601	-0.03971	-0.61345
HG02073	-1.60527	1.20522	0.11813	1.03976
HG02074	0.64477	-0.28085	-0.0668	-0.95812
HG02075	0.64623	0.67895	-1.16191	-2.23804
HG02076	0.64495	0.52839	-1.02107	-1.44122
HG02077	0.86211	0.49183	-0.64688	-0.44148
HG02078	0.1686	0.36007	-1.98595	2.08989
HG02079	-0.96101	0.46484	0.69602	-0.06719
HG02080	-2.91815	-0.10704	-0.05028	0.34026
HG02081	-0.08913	0.28659	-0.52694	0.49056
HG02082	0.12997	-0.50615	-0.62775	-2.671
HG02083	-0.86068	-0.20393	0.31584	-1.12274
HG02084	-0.28973	0.0555	-0.41135	-0.28735
HG02085	-0.48028	-0.19168	-0.75538	1.40632
HG02086	-1.13237	2.63107	-0.89113	-0.6469
HG02087	1.91694	0.82929	-0.56139	-0.15894
HG02088	0.81249	0.01872	-0.53103	1.98116
HG02089	-0.07564	0.25141	0.22992	-2.05505
HG02090	0.04496	-0.00247	-1.67261	0.89309
HG02091	0.87873	-1.66288	-0.90845	0.60843
HG02095	0.24955	1.72297	-0.30932	0.36231
HG02102	-0.74116	-1.38128	-0.78455	2.06871
HG02104	-1.60137	-0.96739	0.4461	0.03773
HG02105	0.81437	-0.22995	1.24871	-1.07053
HG02106	-0.1353	-0.48026	-1.65324	2.02812
HG02107	1.10234	0.27122	-0.66559	0.61398
HG02108	0.16768	0.0979	0.02465	0.68276
HG02111	-0.22642	0.66004	-1.92902	-0.62113
HG02113	-0.36322	1.53625	-1.25151	0.17356
HG02116	-0.36858	0.41973	-1.28915	1.28864
HG02120	0.32397	-0.70676	0.05483	-1.33418
HG02121	0.48725	-0.33622	-0.20223	-0.5573
HG02122	1.12115	0.14722	-0.55931	-0.06401
HG02126	0.71955	0.03288	0.80485	-0.85264
HG02127	2.3675	1.04623	-0.87612	-0.53881
HG02128	-0.52148	0.78855	-0.2691	0.87723
HG02129	1.52213	-0.4046	-1.95746	0.78404
HG02130	-1.60246	0.16528	-0.22541	-0.14391
HG02131	-1.66177	-0.61679	0.18178	-0.21525
HG02132	-0.42131	-0.00345	-1.16748	0.39582
